#id	Family_cod	Family	family_description	family_type	specie
RF00624	P9	Pseudomonas sRNA P9	Gene;	Eukaryota; Bacteria; 	This small RNA (sRNA) was computationally identified in the genome of the opportunistic pathogen Pseudomonas aeruginosa and its expression verified by northern blot analysis [1]. P9 appears to be conserved in several Pseudomonas species in addition to Bordetella spp. In both Pseudomonas and Bordetella spp P9 appears to be located upstream of a predicted threonine dehydratase gene. P9 has a predicted Rho independent terminator at the 3' end but the function of P9 is unknown [1]. This sRNA also appears to be present in the Betaproteobacteria (Burkholderia and Ralstonia species).
RF00625	P11	Pseudomonas sRNA P11	Gene;	Eukaryota; Bacteria; 	This small RNA (sRNA) was computationally identified in the genome of the opportunistic pathogen Pseudomonas aeruginosa and its expression verified by northern blot analysis [1]. P11 is located between a putative threonine protein kinase and putative nitrate reductase and appears to be conserved in several Pseudomonas species. P11 has a predicted Rho independent terminator at the 3'end but the function of P11 is unknown [1].
RF00626	Gurken	Gurken localisation signal	Cis-reg;	Eukaryota; 	Drosophila gurken mRNA is localized by dynein-mediated transport to a crescent near the oocyte nucleus, thus targeting the TGFalpha signal and forming the primary embryonic axes [1]. Gurken contains an RNA stem loop within the coding region that forms a signal for dynein-mediated RNA transport to the oocyte nucleus [1]. This hairpin is conserved in other drosophila species.
RF00627	P15	Pseudomonas sRNA P15	Gene;	Eukaryota; Bacteria; 	This small RNA (sRNA) was computationally identified in the genome of the opportunistic pathogen Pseudomonas aeruginosa and its expression verified by northern blot analysis [1]. P15 is conserved across a wide range of Gammaproteobacteria. It appears to be consistently located upstream of a 3-deoxy-7-phosphoheptulonate synthase gene. P15 has a predicted Rho independent terminator at the 3'end but the function of P15 is unknown [1].
RF00628	P16	Pseudomonas sRNA P16	Gene;	Bacteria; 	This small RNA (sRNA) was computationally identified in the genome of the opportunistic pathogen Pseudomonas aeruginosa and its expression verified by northern blot analysis [1]. P16 sRNA appears to be conserved across several Pseudomonas species and Azotobacter vinelandii. In these species it is consistently located downstream of a predicted TatD deoxyribonuclease gene. P16 has a predicted Rho independent terminator at the 3' end but the function of P16 is unknown [1].
RF00629	P24	Pseudomonas sRNA P24	Gene;	Eukaryota; Bacteria; Viruses; 	This small RNA (sRNA) was computationally identified in the genome of the opportunistic pathogen Pseudomonas aeruginosa and its expression verified by Northern blot analysis [1]. P24 is conserved across several Pseudomonas species and in Azotobacter vinelandii. It appears to be consistently located between a hypothetical protein gene and a transcriptional regulator gene (AsnC family) in the genomes of all these species. P24 has a predicted Rho independent terminator at the 3' end but the function of P24 is unknown [1].
RF00630	P26	Pseudomonas sRNA P26	Gene;	Eukaryota; Bacteria; 	This small RNA (sRNA) was computationally identified in the genome of the opportunistic pathogen Pseudomonas aeruginosa and its expression verified by northern blot analysis [1]. P26 is conserved across many Gammaproteobacteria species and appears to be consistently located between the DNA directed RNA polymerase (beta subunit) and 50S ribosomal protein L7/L12 genes. There are two eukaryotic sequences (AAGJ02000785.1 and AAAB01036679.1) included in this alignment which appear to be contamination.
RF00632	sxy	sxy 5' UTR element	Cis-reg;	Bacteria; 	\N
RF00634	SAM-IV	S-adenosyl methionine (SAM) riboswitch,	Cis-reg; riboswitch;	Eukaryota; Bacteria; 	SAM-IV is a mRNA element that regulates gene expression via direct sensing of S-adenosylmethionine (SAM or AdoMet). SAM-IV riboswitches share conserved nucleotide positions with the previously described SAM-I riboswitches sequence analysis and molecular recognition experiments suggest that SAM-I and SAM-IV riboswitches share similar ligand binding sites, but have different scaffolds.
RF00635	HAR1A	Highly accelerated region 1A/1B	Gene; lncRNA;	Eukaryota; 	\N
RF00636	NRON	ncRNA Repressor of NFAT (nuclear factor of activated T cells)	Gene;	Eukaryota; 	\N
RF00637	mir-276	microRNA mir-276	Gene; miRNA;	Eukaryota; 	\N
RF00638	MIR159	microRNA MIR159	Gene; miRNA;	Eukaryota; 	\N
RF00639	mir-515	microRNA mir-515	Gene; miRNA;	Eukaryota; 	\N
RF00640	MIR167_1	microRNA MIR167_1	Gene; miRNA;	Eukaryota; 	\N
RF00641	mir-154	microRNA mir-154	Gene; miRNA;	Eukaryota; 	\N
RF00642	mir-23	microRNA mir-23	Gene; miRNA;	Eukaryota; 	\N
RF00643	MIR171_1	microRNA MIR171_1	Gene; miRNA;	Eukaryota; 	\N
RF00644	mir-27	microRNA mir-27	Gene; miRNA;	Eukaryota; 	\N
RF00645	MIR169_2	microRNA MIR169_2	Gene; miRNA;	Eukaryota; 	\N
RF00646	mir-204	microRNA mir-204	Gene; miRNA;	Eukaryota; 	\N
RF00647	MIR164	microRNA MIR164	Gene; miRNA;	Eukaryota; 	\N
RF00648	MIR396	microRNA MIR396	Gene; miRNA;	Eukaryota; 	\N
RF00649	mir-128	microRNA mir-128	Gene; miRNA;	Eukaryota; 	\N
RF00650	mir-153	microRNA mir-153	Gene; miRNA;	Eukaryota; 	\N
RF00651	mir-221	microRNA mir-221	Gene; miRNA;	Eukaryota; 	\N
RF00652	MIR478	microRNA MIR478	Gene; miRNA;	Eukaryota; 	\N
RF00653	mir-22	microRNA mir-22	Gene; miRNA;	Eukaryota; 	\N
RF00654	mir-216	microRNA mir-216	Gene; miRNA;	Eukaryota; 	\N
RF00655	mir-28	microRNA mir-28	Gene; miRNA;	Eukaryota; 	\N
RF00656	mir-205	microRNA mir-205	Gene; miRNA;	Eukaryota; 	\N
RF00657	mir-184	microRNA mir-184	Gene; miRNA;	Eukaryota; 	\N
RF00658	mir-21	microRNA mir-21	Gene; miRNA;	Eukaryota; 	\N
RF00659	mir-365	microRNA mir-365	Gene; miRNA;	Eukaryota; 	\N
RF00660	mir-214	microRNA mir-214	Gene; miRNA;	Eukaryota; 	\N
RF00661	mir-31	microRNA mir-31	Gene; miRNA;	Eukaryota; 	\N
RF00662	mir-132	microRNA mir-132	Gene; miRNA;	Eukaryota; 	\N
RF00663	mir-183	microRNA mir-183	Gene; miRNA;	Eukaryota; 	\N
RF00664	mir-223	microRNA mir-223	Gene; miRNA;	Eukaryota; 	\N
RF00665	mir-290	microRNA mir-290	Gene; miRNA;	Eukaryota; 	\N
RF00666	mir-32	microRNA mir-32	Gene; miRNA;	Eukaryota; 	\N
RF00667	mir-33	microRNA mir-33	Gene; miRNA;	Eukaryota; 	\N
RF00668	mir-302	microRNA mir-302	Gene; miRNA;	Eukaryota; 	\N
RF00669	mir-96	microRNA mir-96	Gene; miRNA;	Eukaryota; 	\N
RF00670	mir-105	microRNA mir-105	Gene; miRNA;	Eukaryota; 	\N
RF00671	mir-138	microRNA mir-138	Gene; miRNA;	Eukaryota; 	\N
RF00672	mir-190	microRNA mir-190	Gene; miRNA;	Eukaryota; 	\N
RF00673	mir-217	microRNA mir-217	Gene; miRNA;	Eukaryota; 	\N
RF00674	mir-187	microRNA mir-187	Gene; miRNA;	Eukaryota; 	\N
RF00675	mir-145	microRNA mir-145	Gene; miRNA;	Eukaryota; 	\N
RF00676	mir-127	microRNA mir-127	Gene; miRNA;	Eukaryota; 	\N
RF00677	MIR168	microRNA MIR168	Gene; miRNA;	Eukaryota; 	\N
RF00678	mir-140	microRNA mir-140	Gene; miRNA;	Eukaryota; 	\N
RF00679	mir-210	microRNA mir-210	Gene; miRNA;	Eukaryota; 	\N
RF00680	mir-224	microRNA mir-224	Gene; miRNA;	Eukaryota; 	\N
RF00681	mir-198	microRNA mir-198	Gene; miRNA;	Eukaryota; 	\N
RF00682	mir-144	microRNA mir-144	Gene; miRNA;	Eukaryota; 	\N
RF00683	mir-143	microRNA mir-143	Gene; miRNA;	Eukaryota; 	\N
RF00684	mir-122	mir-122 microRNA precursor	Gene; miRNA;	Eukaryota; 	miR-122 is miRNA precursor family MIPF:MIPF0000095 that appears to be vertebrate specific. In mammals, miR-122 is enriched in liver cells where it has been implicated as a regulator of fatty-acid metabolism in mouse studies. The hairpin precursors (represented here) are predicted based on base pairing and cross-species conservation -- their extents are not known. In this case the mature sequence is excised from the 5' arm of the hairpin.
RF00685	mir-36	microRNA mir-36	Gene; miRNA;	Eukaryota; 	\N
RF00686	mir-338	microRNA mir-338	Gene; miRNA;	Eukaryota; 	\N
RF00687	mir-136	microRNA mir-136	Gene; miRNA;	Eukaryota; 	\N
RF00688	MIR394	microRNA MIR394	Gene; miRNA;	Eukaryota; 	\N
RF00689	MIR390	microRNA MIR390	Gene; miRNA;	Eukaryota; 	\N
RF00690	MIR408	microRNA MIR408	Gene; miRNA;	Eukaryota; 	\N
RF00691	mir-146	microRNA mir-146	Gene; miRNA;	Eukaryota; 	\N
RF00692	MIR171_2	microRNA MIR171_2	Gene; miRNA;	Eukaryota; 	\N
RF00693	mir-147	microRNA mir-147	Gene; miRNA;	Eukaryota; 	\N
RF00694	mir-137	microRNA mir-137	Gene; miRNA;	Eukaryota; 	\N
RF00695	MIR398	microRNA MIR398	Gene; miRNA;	Eukaryota; 	\N
RF00696	mir-203	microRNA mir-203	Gene; miRNA;	Eukaryota; 	\N
RF00697	mir-186	microRNA mir-186	Gene; miRNA;	Eukaryota; 	\N
RF00698	mir-489	microRNA mir-489	Gene; miRNA;	Eukaryota; 	\N
RF00699	mir-134	microRNA mir-134	Gene; miRNA;	Eukaryota; 	\N
RF00700	mir-375	microRNA mir-375	Gene; miRNA;	Eukaryota; 	\N
RF00701	mir-126	microRNA mir-126	Gene; miRNA;	Eukaryota; 	\N
RF00702	mir-182	microRNA mir-182	Gene; miRNA;	Eukaryota; 	\N
RF00703	mir-139	microRNA mir-139	Gene; miRNA;	Eukaryota; 	\N
RF00704	MIR397	microRNA MIR397	Gene; miRNA;	Eukaryota; 	\N
RF00705	mir-202	microRNA mir-202	Gene; miRNA;	Eukaryota; 	\N
RF00706	mir-263	microRNA mir-263	Gene; miRNA;	Eukaryota; 	\N
RF00707	mir-197	microRNA mir-197	Gene; miRNA;	Eukaryota; 	\N
RF00708	mir-450	microRNA mir-450	Gene; miRNA;	Eukaryota; 	\N
RF00709	mir-455	microRNA mir-455	Gene; miRNA;	Eukaryota; 	\N
RF00710	mir-44	microRNA mir-44	Gene; miRNA;	Eukaryota; 	\N
RF00711	mir-449	microRNA mir-449	Gene; miRNA;	Eukaryota; 	\N
RF00712	mir-460	microRNA mir-460	Gene; miRNA;	Eukaryota; 	\N
RF00713	mir-239	microRNA mir-239	Gene; miRNA;	Eukaryota; 	\N
RF00714	MIR535	microRNA MIR535	Gene; miRNA;	Eukaryota; 	\N
RF00715	mir-383	microRNA mir-383	Gene; miRNA;	Eukaryota; 	\N
RF00716	mir-3	microRNA mir-3	Gene; miRNA;	Eukaryota; 	\N
RF00717	mir-315	microRNA mir-315	Gene; miRNA;	Eukaryota; 	\N
RF00718	mir-431	microRNA mir-431	Gene; miRNA;	Eukaryota; 	\N
RF00719	mir-326	microRNA mir-326	Gene; miRNA;	Eukaryota; 	\N
RF00720	mir-317	microRNA mir-317	Gene; miRNA;	Eukaryota; 	\N
RF00721	MIR475	microRNA MIR475	Gene; miRNA;	Eukaryota; 	\N
RF00722	mir-451	microRNA mir-451	Gene; miRNA;	Eukaryota; Bacteria; 	\N
RF00723	mir-448	microRNA mir-448	Gene; miRNA;	Eukaryota; 	\N
RF00724	mir-282	microRNA mir-282	Gene; miRNA;	Eukaryota; 	\N
RF00725	mir-iab-4	microRNA mir-iab-4	Gene; miRNA;	Eukaryota; 	\N
RF00726	mir-87	microRNA mir-87	Gene; miRNA;	Eukaryota; 	\N
RF00727	bantam	microRNA bantam	Gene; miRNA;	Eukaryota; 	\N
RF00728	mir-81	microRNA mir-81	Gene; miRNA;	Eukaryota; 	\N
RF00729	mir-278	microRNA mir-278	Gene; miRNA;	Eukaryota; 	\N
RF00730	mir-277	microRNA mir-277	Gene; miRNA;	Eukaryota; 	\N
RF00731	mir-155	microRNA mir-155	Gene; miRNA;	Eukaryota; 	\N
RF00732	mir-305	microRNA mir-305	Gene; miRNA;	Eukaryota; 	\N
RF00733	mir-296	microRNA mir-296	Gene; miRNA;	Eukaryota; 	\N
RF00734	mir-52	microRNA mir-52	Gene; miRNA;	Eukaryota; 	\N
RF00735	mir-367	microRNA mir-367	Gene; miRNA;	Eukaryota; 	\N
RF00736	mir-320	microRNA mir-320	Gene; miRNA;	Eukaryota; 	\N
RF00737	mir-322	microRNA mir-322	Gene; miRNA;	Eukaryota; 	\N
RF00739	MIR476	microRNA MIR476	Gene; miRNA;	Eukaryota; 	\N
RF00740	mir-370	microRNA mir-370	Gene; miRNA;	Eukaryota; 	\N
RF00741	mir-378	microRNA mir-378	Gene; miRNA;	Eukaryota; 	\N
RF00742	MIR162_2	microRNA MIR162_2	Gene; miRNA;	Eukaryota; 	\N
RF00743	mir-308	microRNA mir-308	Gene; miRNA;	Eukaryota; 	\N
RF00744	mir-361	microRNA mir-361	Gene; miRNA;	Eukaryota; 	\N
RF00745	mir-499	microRNA mir-499	Gene; miRNA;	Eukaryota; 	\N
RF00746	mir-454	microRNA mir-454	Gene; miRNA;	Eukaryota; 	\N
RF00747	mir-283	microRNA mir-283	Gene; miRNA;	Eukaryota; 	\N
RF00748	mir-433	microRNA mir-433	Gene; miRNA;	Eukaryota; 	\N
RF00749	mir-208	microRNA mir-208	Gene; miRNA;	Eukaryota; 	\N
RF00750	mir-458	microRNA mir-458	Gene; miRNA;	Eukaryota; 	\N
RF00751	mir-12	microRNA mir-12	Gene; miRNA;	Eukaryota; 	\N
RF00752	mir-14	microRNA mir-14	Gene; miRNA;	Eukaryota; 	\N
RF00753	mir-503	microRNA mir-503	Gene; miRNA;	Eukaryota; 	\N
RF00754	mir-279	microRNA mir-279	Gene; miRNA;	Eukaryota; 	\N
RF00755	mir-542	microRNA mir-542	Gene; miRNA;	Eukaryota; 	\N
RF00756	mir-299	microRNA mir-299	Gene; miRNA;	Eukaryota; 	\N
RF00757	mir-275	microRNA mir-275	Gene; miRNA;	Eukaryota; 	\N
RF00758	mir-346	microRNA mir-346	Gene; miRNA;	Eukaryota; 	\N
RF00760	mir-342	microRNA mir-342	Gene; miRNA;	Eukaryota; 	\N
RF00761	mir-340	microRNA mir-340	Gene; miRNA;	Eukaryota; 	\N
RF00762	mir-412	microRNA mir-412	Gene; miRNA;	Eukaryota; 	\N
RF00763	mir-339	microRNA mir-339	Gene; miRNA;	Eukaryota; 	\N
RF00764	mir-191	microRNA mir-191	Gene; miRNA;	Eukaryota; 	\N
RF00765	mir-337	microRNA mir-337	Gene; miRNA;	Eukaryota; 	\N
RF00766	mir-335	microRNA mir-335	Gene; miRNA;	Eukaryota; 	\N
RF00767	mir-150	microRNA mir-150	Gene; miRNA;	Eukaryota; 	\N
RF00768	MIR405	microRNA MIR405	Gene; miRNA;	Eukaryota; 	\N
RF00769	mir-331	microRNA mir-331	Gene; miRNA;	Eukaryota; 	\N
RF00770	mir-330	microRNA mir-330	Gene; miRNA;	Eukaryota; 	\N
RF00771	mir-185	microRNA mir-185	Gene; miRNA;	Eukaryota; 	\N
RF00772	mir-328	microRNA mir-328	Gene; miRNA;	Eukaryota; 	\N
RF00773	mir-298	microRNA mir-298	Gene; miRNA;	Eukaryota; 	\N
RF00774	mir-360	microRNA mir-360	Gene; miRNA;	Eukaryota; 	\N
RF00775	mir-432	microRNA mir-432	Gene; miRNA;	Eukaryota; 	\N
RF00776	mir-540	microRNA mir-540	Gene; miRNA;	Eukaryota; 	\N
RF00777	mir-541	microRNA mir-541	Gene; miRNA;	Eukaryota; 	\N
RF00778	MIR473	microRNA MIR473	Gene; miRNA;	Eukaryota; 	\N
RF00779	MIR474	microRNA MIR474	Gene; miRNA;	Eukaryota; 	\N
RF00780	MIR477	microRNA MIR477	Gene; miRNA;	Eukaryota; 	\N
RF00781	mir-505	microRNA mir-505	Gene; miRNA;	Eukaryota; 	\N
RF00782	MIR480	microRNA MIR480	Gene; miRNA;	Eukaryota; 	\N
RF00783	mir-484	microRNA mir-484	Gene; miRNA;	Eukaryota; 	\N
RF00784	mir-486	microRNA mir-486	Gene; miRNA;	Eukaryota; 	\N
